order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,product_id,seller_id,price,shipping_charges,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,payment_sequential,payment_type,payment_installments,payment_value,customer_zip_code_prefix,customer_city,customer_state
mHyhzcUeLGj2,TDEBQrhIwApB,delivered,2018-04-02 22:39:59,2018-04-03 22:35:18,2018-04-13 18:12:30,2018-04-23,wdV7yJzaz3Su,coi9xkdo66JI,135.91,48.71,toys,4050.0,17.0,12.0,14.0,1,credit_card,2.0,673.02,1223,itaperuna,RJ
StM5K4TLyrt5,1k71TCYNFCzj,delivered,2018-05-30 09:25:25,2018-05-30 09:35:16,2018-06-21 18:22:15,2018-07-05,V3ksL8RRt2uO,cijw7pZK3THP,37.89,72.67,toys,350.0,21.0,22.0,22.0,1,credit_card,1.0,60.56,11703,serra,ES
Q97dFuo1kaq9,IfWKDQHkjLDd,delivered,2018-04-10 00:17:56,2018-04-10 00:35:11,2018-04-20 18:03:58,2018-05-04,vndXhZ66Bwpl,1DpugyRBC5sk,28.82,16.92,toys,500.0,16.0,12.0,22.0,1,credit_card,8.5,110.32,32407,sao goncalo,RJ
07j6mlMhSVtx,kZ0rkJCJ6N5y,delivered,2018-05-02 22:52:10,2018-05-03 00:13:21,2018-05-09 23:48:32,2018-05-18,2RxPIb6Sjlm1,V74ci3dl1Npa,222.98,31.89,toys,300.0,38.0,19.0,22.0,1,credit_card,3.0,673.02,13843,mogi das cruzes,SP
kxa1InBj9gwP,zsCKIdqYLV01,delivered,2017-04-24 20:06:41,2017-04-24 20:22:24,2017-05-05 10:22:27,2017-05-25,DXG0TFaZjGHO,V8Stg8HdXCTe,36.89,59.0,toys,200.0,16.0,7.0,11.0,1,credit_card,1.0,254.94,2961,caico,RN
P5R6jr1qZdh4,FrEvnEiMKGpr,canceled,2017-07-24 11:38:43,2017-07-24 11:50:18,2018-06-18 14:31:22,2017-08-07,YCMS6jUWbEbe,2IxTbqKqgUdA,139.98,14.91,toys,4000.0,45.0,20.0,52.5,1,credit_card,8.5,98.42,28630,sao paulo,SP
HqV5f8K2UYoA,3zvaY9gUH9bO,delivered,2018-06-15 15:44:21,2018-06-15 16:00:22,2018-06-25 22:27:56,2018-07-11,CBuRjOln99hg,Wk0JznmZOo6h,83.36,6.87,auto,350.0,20.0,15.0,15.0,1,credit_card,3.0,281.52,59020,barra mansa,RJ
j5rwgECNf14O,bUornDCZmRD4,delivered,2018-03-15 11:13:23,2018-03-15 11:29:14,2018-04-09 18:54:36,2018-04-03,tfgKHMdnTKpJ,RsUgQvBvc24M,185.6,21.82,toys,425.0,17.0,11.0,14.0,1,credit_card,2.0,182.83,3440,sao paulo,SP
43It0OEHVyJe,qEVfsXFU3er9,delivered,2017-03-05 16:10:01,2017-03-05 16:25:11,2017-04-18 15:28:21,2017-04-06,l0Q038BC2u3G,5Tuxay3bG3t7,403.9,31.0,health_beauty,4050.0,30.0,10.0,20.0,1,credit_card,1.0,38.35,3936,apora,BA
ddXx4T93MeaI,mPg90mQwmDOP,delivered,2017-10-03 12:58:11,2017-10-03 13:07:28,2017-10-09 14:06:32,2017-10-30,V84ooqHQgeH2,STj3c88kfxpu,167.0,20.9,toys,200.0,20.0,5.0,15.0,1,credit_card,2.0,107.01,85140,brasilia,DF
NXDsEGbl1pUC,v6GelvnCrAk5,delivered,2018-04-02 00:31:04,2018-04-02 00:47:44,2018-04-06 20:53:33,2018-04-18,E9OiMOkPkNam,coi9xkdo66JI,318.33,27.57,toys,335.0,17.0,11.0,16.0,1,credit_card,8.0,376.61,18500,sao paulo,SP
MhDudBaAab78,lZ0pUFQvjZNA,delivered,2017-08-16 19:36:38,2017-08-18 02:35:25,2017-08-24 21:47:56,2017-09-05,aYw1jx6U0ZzQ,VnAPb1lEZYQ6,3.49,30.66,toys,300.0,27.0,25.0,27.0,1,wallet,1.0,298.17,37589,lorena,SP
XupzjrovQeez,ckZATUjYdFd3,delivered,2017-06-21 16:41:10,2017-06-22 02:45:18,2017-06-29 12:43:45,2017-07-04,kuUbPNBMgk7o,tYbtiPwsAhmw,109.82,50.83,toys,2150.0,30.0,19.0,25.0,1,wallet,1.0,163.1,54070,sao paulo,SP
YTztQOHlvuBg,GuxDt46GwQEd,delivered,2017-07-02 21:10:38,2017-07-02 21:25:15,2017-07-13 19:19:52,2017-07-27,SESkOgF0nWnh,YVBAT3QqF9Qj,89.1,34.6,cool_stuff,1600.0,42.0,25.0,15.0,1,voucher,1.0,120.04,95912,canoas,RS
xfXLgLbCo5BC,SPV4UclettEh,delivered,2018-02-18 12:03:25,2018-02-18 12:10:25,2018-02-28 20:06:27,2018-03-13,06Zem5ml9euJ,l1pYW6GBnPMr,68.0,20.9,toys,175.0,17.0,6.0,13.0,1,credit_card,1.0,166.71,75132,nova iguacu,RJ
gVMP1bPDg69L,GpdbWoJi61Qc,delivered,2017-12-30 02:36:20,2018-01-04 23:17:35,2018-01-23 20:28:38,2018-02-05,ro08JPncYzLh,r7VxefoTVHbb,509.99,21.76,garden_tools,1650.0,30.0,22.0,30.0,1,wallet,1.0,97.19,20011,caruaru,PE
9G9EHbafs7NW,KD8KlSTtIm3Z,delivered,2018-07-18 18:42:47,2018-07-18 18:55:28,2018-08-03 14:43:03,2018-08-13,lkPBqpnGNyKe,O04i82YS0uAJ,165.0,9.45,toys,650.0,36.0,15.0,25.0,1,credit_card,1.0,673.02,85155,sao lourenco da mata,PE
INolFarYfmEO,QU7yWUgfIpJX,delivered,2018-06-30 21:08:36,2018-06-30 21:30:06,2018-07-11 17:56:33,2018-08-03,saFIRNuu8V6H,qeM9i4J3ypy2,100.0,6.79,toys,1500.0,20.0,30.0,30.0,1,credit_card,3.0,50.88,35360,novo hamburgo,RS
LV0vJIDricq1,rgjb3WchpjHg,delivered,2017-11-05 19:14:22,2017-11-07 07:30:35,2017-11-17 20:32:53,2017-11-29,uicu7Mpz6xlZ,V3iKL8r9W9NR,127.77,38.66,toys,950.0,68.0,5.0,20.0,1,wallet,1.0,27.16,57690,goiania,GO
VtQvdStc00Xd,JyHhNu9cbCo1,delivered,2017-03-07 19:19:19,2017-03-08 03:05:17,2017-03-21 10:41:53,2017-04-03,uCnShK796Rpb,OkFthMYQJf3H,692.0,11.36,toys,1700.0,28.0,14.0,22.0,1,wallet,1.0,113.84,57180,belo horizonte,MG
tOTdnjpI8Udp,Jw0zo2CWiEs7,delivered,2018-07-10 12:15:42,2018-07-10 12:30:21,2018-07-15 16:13:38,2018-07-18,tRV6VjdwdLAm,fBHtndjqwueV,295.0,109.49000000000001,toys,1500.0,40.0,30.0,30.0,1,credit_card,6.0,283.61,95925,sao paulo,SP
ebR5efLCCpiq,MXiUFyGLUs2Z,delivered,2018-02-03 17:08:22,2018-02-03 17:30:03,2018-03-06 07:14:36,2018-03-13,Hwaj6cncrjwO,9fFFM6RBxCkT,186.98,17.44,toys,1300.0,30.0,30.0,30.0,1,credit_card,1.0,242.59,89031,nova serrana,MG
YOKYMSjKRCMN,oiBrZODbJTvz,delivered,2018-04-10 08:42:53,2018-04-10 08:55:33,2018-04-20 10:59:02,2018-05-02,YgnBaIterOVh,FRAkUwkY4tZy,113.49,50.82,toys,2650.0,16.0,16.0,52.5,1,credit_card,8.0,580.07,17017,guacui,ES
57XZHymoJ10l,mcuPjOLRkNpR,delivered,2017-09-05 13:32:39,2017-09-05 13:50:10,2017-09-13 16:54:10,2017-09-29,SLTlrWtcYt1m,r7VxefoTVHbb,692.0,2.75,toys,1750.0,37.0,22.0,40.0,1,credit_card,1.0,38.51,77807,sao paulo,SP
yUz40ih0jYGt,yOjH9Exn64WQ,delivered,2018-03-15 15:20:17,2018-03-15 15:35:35,2018-03-24 15:34:51,2018-03-27,yZJweQSasMAW,yfNN6zuwypOw,17.6,68.69,toys,350.0,19.0,19.0,13.0,1,credit_card,1.0,212.78,11680,sao paulo,SP
IeZYtitws7WU,yca6TkmY4yQm,delivered,2017-05-16 09:23:23,2017-05-16 09:35:15,2017-05-31 08:38:03,2017-06-07,kgF2KLJ8Ao3M,3Q4DoxWsVAXa,37.84,56.27,toys,107.0,7.0,7.0,10.0,1,credit_card,2.0,279.54,50720,sao joao de meriti,RJ
ZPkh9QhjG7SK,LooHWGt3K5gp,delivered,2017-08-05 18:13:21,2017-08-08 03:55:47,2017-08-17 17:05:57,2017-08-25,8kUYWjdaVCxf,oI8R7WsNWWBc,50.21,109.49000000000001,toys,250.0,41.0,2.0,29.0,1,wallet,1.0,211.11,88650,sao pedro da uniao,MG
KJL5uJuZzKxr,oZqYD7eyV1EJ,delivered,2018-07-17 15:21:10,2018-07-18 03:01:44,2018-08-20 12:08:32,2018-08-14,QzAC1fDWMbmk,ShJbjTW0ZGor,26.68,29.56,toys,100.0,11.0,11.0,11.0,1,wallet,1.0,192.92,93346,brasilia,DF
SelY2hgVvruM,0hj86xqZbYSV,delivered,2017-05-05 17:23:59,2017-05-06 06:35:18,2017-05-25 16:30:12,2017-06-05,R2u3pJSgF7Gr,OnC6iPAbNc8Z,59.88,37.93,toys,200.0,19.0,9.0,12.0,1,wallet,1.0,416.64,53610,sao jose,SC
0QqNX4xLriht,l2wCGNSY1l3Z,delivered,2017-05-15 19:39:50,2017-05-15 19:55:17,2017-05-22 12:25:54,2017-06-02,lSVmLWTOmgtw,rFT13UJuGo0Q,28.69,57.11,toys,400.0,16.0,16.0,22.0,1,voucher,1.0,673.02,58900,itatiba,SP
HNXQI2lmI4AR,ukZ709Rl8bdF,delivered,2017-09-05 14:56:58,2017-09-07 02:44:07,2017-09-14 20:05:01,2017-09-18,bDhxHlkU0GeF,sdO4rR2udeZV,676.97,39.12,toys,1100.0,22.0,21.0,16.0,1,wallet,1.0,247.64,3809,sao paulo,SP
C21fWds5zL0W,iFsAJRrzVaTS,shipped,2017-02-04 12:58:55,2017-02-04 13:10:38,2018-06-18 14:31:22,2017-03-15,MeFPAUcWfyAo,5Ja2lH0N2OZt,68.99,27.8,toys,1500.0,18.0,35.0,48.0,1,credit_card,7.0,107.82,4932,sao paulo,SP
00NEIdaOTIgn,tSG89uyaK6MS,delivered,2018-05-07 22:34:11,2018-05-07 22:52:41,2018-05-11 22:48:43,2018-05-21,Mh5csf65CB6I,UOGIrJtSldvd,223.87,31.01,toys,900.0,28.0,29.0,12.0,1,voucher,1.0,137.01,66040,ribeirao preto,SP
XprtHqpLEddw,Ex7BhwPvrGyQ,delivered,2017-06-08 20:25:53,2017-06-09 20:30:15,2017-06-28 13:17:43,2017-07-11,hfEa3c65LTA2,0Mzbc3aACMOQ,55.83,3.45,toys,4050.0,20.0,20.0,20.0,1,credit_card,3.0,358.53,4551,santana do acarau,CE
ph9ImXx6aMjl,f4Frm4WEvj1g,delivered,2017-08-16 22:58:04,2017-08-17 00:50:11,2017-08-26 15:35:39,2017-09-05,Pb29t2XBfP6Q,2a07LobkzHUx,176.97,35.87,furniture_decor,700.0,35.0,4.0,30.0,1,voucher,1.0,98.89,45890,sao paulo,SP
x0fzGpICAZ0w,ORO4ADUB1jHd,delivered,2018-04-27 23:54:06,2018-04-28 00:10:51,2018-05-02 17:32:25,2018-05-14,th6S1t44GAij,B025lNndXwWx,231.27,82.44,toys,1256.0,28.0,26.0,30.0,1,credit_card,3.0,29.22,83075,curitiba,PR
YUX432Je58GK,jQ0u9oBPe3Mg,delivered,2018-07-25 09:02:36,2018-07-25 09:15:13,2018-07-30 10:49:54,2018-08-02,fUSMr8Wo77AI,l1pYW6GBnPMr,820.05,109.49000000000001,toys,70.0,19.0,4.0,15.0,1,credit_card,1.0,203.99,79620,sao paulo,SP
C3u0OwYQ8nuP,0I8vL0BlM1p1,delivered,2017-03-20 21:35:37,2017-03-20 21:35:37,2017-03-24 12:17:55,2017-04-10,qI5i1mUxo5tX,EGpv4plsYpt1,3.5,2.46,fashion_shoes,400.0,29.0,7.0,16.0,1,credit_card,1.0,203.19,2943,atibaia,SP
UaZKqhLFwRZP,JtX09eqY5lk3,delivered,2018-03-27 17:27:57,2018-03-27 17:48:39,2018-03-31 16:12:11,2018-04-09,AQRgJU930yvK,TAkMUTMwlNUw,26.86,109.49000000000001,toys,4050.0,68.0,35.0,30.0,1,credit_card,3.0,167.37,74943,sao paulo,SP
QOaNjVewOOTX,sk3z82bQhZAO,delivered,2018-05-07 15:39:24,2018-05-07 17:30:00,2018-05-29 14:28:53,2018-05-30,VCOwCoc0C3aj,BUqNP64b1AeL,111.27,49.55,toys,1200.0,30.0,4.0,20.0,1,credit_card,1.0,44.82,25651,recife,PE
lo8oje94TYb7,eSqRKROmKF9Y,delivered,2018-08-13 14:07:50,2018-08-15 03:15:09,2018-08-24 00:14:39,2018-09-05,f21OMkeWX2ZC,ozjiHoSKwUks,79.49,51.91,toys,4050.0,68.0,38.0,52.5,1,wallet,1.0,231.27,65210,florianopolis,SC
O5bLel2qV1yT,SNzA2roBQaGK,delivered,2018-08-01 13:21:58,2018-08-01 13:35:09,2018-08-15 20:31:53,2018-08-09,mKDM0qdFnNNd,xbr8ZnHWrWgb,189.98,36.97,toys,127.0,18.0,10.0,14.0,1,debit_card,1.0,27.71,31744,rio de janeiro,RJ
3ffaVBUrnCxy,IGPOK4wVaGbv,delivered,2018-03-17 10:31:47,2018-03-17 10:50:31,2018-03-28 17:03:47,2018-04-05,aZ1aneUqyncU,XLxN4hdOlYco,475.0,50.28,toys,125.0,19.0,5.0,11.0,1,wallet,1.0,250.26,13065,taubate,SP
8g4jF6hPD6tG,45WzrefbE0kB,delivered,2017-06-07 20:06:06,2017-06-07 20:22:27,2017-06-16 18:25:40,2017-06-21,ch26pynh9FL6,AHG0TE6bRNNY,31.77,23.6,sports_leisure,1182.0,21.0,16.0,17.0,1,credit_card,1.0,395.46,99025,sao paulo,SP
IBT786JmVIAa,dGD1MVag3snm,delivered,2018-03-10 11:18:28,2018-03-10 11:48:16,2018-03-16 20:27:34,2018-03-22,eTlPil30tvIn,3cqSxyYyqpx6,188.8,22.11,toys,4050.0,20.0,30.0,52.5,1,credit_card,8.5,5.28,1050,curitiba,PR
Rd6Tke4v8afv,EI8c9beFpTSQ,delivered,2018-03-02 09:15:34,2018-03-02 09:29:48,2018-04-05 17:41:42,2018-03-28,DXG0TFaZjGHO,V8Stg8HdXCTe,403.9,49.72,toys,200.0,16.0,7.0,11.0,1,credit_card,1.0,97.89,75388,santa ines,MA
NnoGZNF5rNkD,YanexVtkhb2B,delivered,2017-11-17 19:41:48,2017-11-18 02:35:30,2017-12-02 18:38:16,2017-12-05,htOWZMHmysDe,9OW1ODEpHxLL,125.46,13.81,toys,4050.0,40.0,38.0,40.0,1,wallet,1.0,573.56,6810,santos,SP
gZMKyNzWXvcQ,iaDXrhsLGSc6,delivered,2017-11-27 13:49:33,2017-11-27 13:56:37,2017-12-18 20:08:13,2017-12-21,GJ4e2xEfaCmh,oI8R7WsNWWBc,31.0,5.59,auto,75.0,17.0,8.0,13.0,1,voucher,1.0,457.86,40354,belo horizonte,MG
qcDbJ8F0FIjM,hWGGX7sEla9R,delivered,2018-05-08 19:38:58,2018-05-08 20:54:55,2018-05-14 20:36:55,2018-05-21,EZlH1lJVfFqj,CQsufpmy1WxU,907.6374999999999,6.58,sports_leisure,1017.0,42.0,21.0,27.0,1,credit_card,8.5,90.11,36090,araras,SP
hyJjgFRI44lc,MNcdWG4E5iDb,delivered,2018-04-05 11:22:54,2018-04-07 02:48:13,2018-04-13 00:50:52,2018-04-25,zTW2bowvLdj9,zyhKQqd3kGqW,129.46,6.87,toys,100.0,19.0,2.0,19.0,1,wallet,1.0,112.49,72548,brasilia,DF
EfyYNfniuxQP,7mxdMPX1ERJj,delivered,2017-09-08 12:55:46,2017-09-08 13:05:18,2017-09-15 21:55:41,2017-10-02,VO111AOA1QIP,ElULPWS11hxk,161.0,47.55,baby,550.0,50.0,10.0,50.0,1,credit_card,3.0,29.68,9445,uberlandia,MG
0MQGlO2eQrNG,JJe2PPwxISzG,delivered,2018-01-08 11:23:52,2018-01-08 11:35:30,2018-01-18 20:58:50,2018-01-31,mfq8n5MEY4eP,XoReeOEjvEuw,770.0,67.11,toys,378.0,21.0,14.0,14.0,1,credit_card,1.0,228.29,25545,santa cruz do rio pardo,SP
zb8Qfa2K9ynp,cnalXbv8lRur,delivered,2017-03-30 21:59:17,2017-04-04 05:45:23,2017-04-13 16:57:42,2017-04-25,TdryLJINHQ9O,dQCmV6mcOXGX,109.82,55.54,toys,800.0,30.0,10.0,30.0,1,wallet,1.0,244.85,65302,cubatao,SP
LLWFihCYlP6a,Vpl3DrXMAEhb,delivered,2018-04-11 20:48:46,2018-04-11 21:09:42,2018-04-18 21:50:59,2018-05-04,B2udqVNGe7sU,AHG0TE6bRNNY,148.5,27.36,toys,300.0,30.0,15.0,15.0,1,credit_card,6.0,63.38,65935,itapolis,SP
PBvPGqQxwFDV,cWwtMYBNlwy1,delivered,2018-08-08 18:52:43,2018-08-08 19:05:10,2018-08-20 13:43:44,2018-09-20,IsLB3oNMsX7k,K0qPVGdA91KO,31.99,38.26,furniture_decor,4050.0,30.0,35.0,30.0,1,credit_card,8.5,386.32,98010,porto alegre,RS
OQHE8Ve7n811,bEh2OYyGVzcI,delivered,2017-08-30 10:56:22,2017-08-30 11:10:15,2017-09-08 17:33:00,2017-09-21,7IfEqKdKlG9j,16pMg4KJ3hIj,87.9,47.55,toys,200.0,16.0,10.0,16.0,1,credit_card,4.0,273.32,59075,timoteo,MG
Vtkwb0b4JxKg,3JeAegsqlpZ1,delivered,2018-05-18 18:52:53,2018-05-22 08:56:53,2018-06-04 21:16:48,2018-06-07,YG7qG1MQlhjp,3t74Pe6EQyNu,206.57,29.68,toys,200.0,18.0,3.0,20.0,1,wallet,1.0,673.02,65510,sao paulo,SP
4qLswBjaDZnT,6gl6qALuNSUL,delivered,2018-02-05 09:06:12,2018-02-07 02:52:32,2018-03-22 19:18:52,2018-03-06,nS95HUh6SK36,2a07LobkzHUx,98.62,54.64,bed_bath_table,1600.0,49.0,7.0,40.0,1,wallet,1.0,47.48,6394,claudio,MG
XXzZNogGt47r,rAV7gKaOWkEy,delivered,2018-06-10 20:29:24,2018-06-10 20:57:48,2018-06-13 16:03:33,2018-06-29,cT3PvVNqyIpQ,vmUdCiLPoz75,907.6374999999999,20.79,bed_bath_table,4050.0,40.0,16.0,50.0,1,credit_card,6.0,234.19,71740,bofete,SP
Pp9bMvTIgPDs,CiOHqzRk5bbt,delivered,2018-02-15 09:19:26,2018-02-16 09:35:27,2018-03-12 17:19:32,2018-03-12,hoBYqNvOyd5V,lAnSOSAjk3Uz,368.9,63.39,housewares,4050.0,60.0,38.0,52.5,1,credit_card,8.0,61.34,9603,manhuacu,MG
zh6skhlWLDTv,tIPFV5qJBgvT,delivered,2018-03-06 22:09:24,2018-03-06 22:28:48,2018-03-14 23:46:30,2018-03-22,2oRZ0O0Cvxg1,cjilIa8d2RUG,10.6,50.43,toys,2150.0,42.0,10.0,22.0,1,credit_card,6.0,673.02,78885,tatui,SP
z9Zr742C0ASe,yD2x7GOSsjqA,delivered,2018-04-29 11:36:05,2018-04-29 11:52:06,2018-05-10 21:04:37,2018-05-25,UjLE7WsWfgrO,Fh5z5uvA4neX,218.98,6.87,construction_tools_construction,450.0,16.0,14.0,11.0,1,credit_card,1.0,214.88,76470,governador valadares,MG
AayA35wXEdbB,a9gFQyCfrVym,delivered,2017-09-11 17:35:25,2017-09-11 18:04:33,2017-10-05 20:43:40,2017-10-11,nvbYOXncMsv0,uhfmBPCbZg6B,139.79,47.82,toys,600.0,37.0,12.0,31.0,1,credit_card,3.0,112.87,3920,parnaiba,PI
kuyUMcYHFGqn,dXsploeBzop3,delivered,2018-07-29 12:47:00,2018-08-01 16:31:40,2018-08-03 18:20:55,2018-08-10,5WcLgWtO04vH,ruq0u2ZpAMDr,403.9,15.77,toys,400.0,20.0,2.0,15.0,1,credit_card,3.0,133.3,2757,curitiba,PR
efc3TQanhsCE,9tQzKeNKhIoQ,delivered,2017-05-07 13:59:55,2017-05-07 14:10:14,2017-05-16 13:58:56,2017-05-31,jyqvHPkDKFDV,DHOPtCppeECW,41.1,47.55,toys,567.0,26.0,12.0,26.0,1,credit_card,1.0,52.37,3809,sao paulo,SP
vFUriN4pz2Bi,TLYzpBJ3Cbnv,delivered,2017-09-04 14:25:41,2017-09-04 14:43:50,2017-09-12 23:54:52,2017-09-21,4BAZNq7FQZOV,oqejBC0typqo,198.5,76.76,toys,500.0,23.0,38.0,32.0,1,credit_card,6.0,269.12,4854,uberlandia,MG
1CVQ66HlMRUR,J2bElQYq3gEQ,delivered,2017-06-23 13:56:25,2017-06-27 03:55:21,2017-06-28 12:06:11,2017-07-13,G16XPtJuiBOe,nOpV5DDruGvj,17.91,32.34,toys,150.0,16.0,4.0,13.0,1,wallet,1.0,419.44,11446,carapicuiba,SP
jJgDALmwe6f6,lFEdYUjKo6tu,delivered,2017-05-05 08:44:58,2017-05-06 02:15:58,2017-05-15 11:38:04,2017-05-30,tfJojxEnA32p,ZsDn106jXrgr,8.8,70.17,toys,2200.0,40.0,15.0,30.0,1,wallet,1.0,31.6,48010,bom jesus da penha,MG
n8p0M8Vco4SQ,8tpStNEuJ43p,delivered,2017-04-10 23:29:46,2017-04-10 23:42:09,2017-04-20 12:03:14,2017-05-15,5hqQbR7p5r2D,oGYw3FCx0i23,43.21,109.49000000000001,toys,1825.0,43.0,28.0,28.0,1,credit_card,8.5,1.14,26293,porto alegre,RS
pNSYSUcXxkhB,qvo2fc2aRUvp,delivered,2017-06-04 12:09:59,2017-06-04 13:02:01,2017-06-13 17:13:52,2017-06-20,97fSQlZJl4P8,n3xQr5wHpHRX,24.79,13.92,toys,900.0,30.0,8.0,23.0,1,credit_card,2.0,178.38,63515,itu,SP
9AWAHq3HWS6u,pk1Ke0Nxac36,delivered,2017-08-08 13:37:37,2017-08-08 13:50:13,2017-08-11 20:11:04,2017-08-23,mwlDII1pL31s,p7zV0UTQOu6w,184.9,52.37,toys,4050.0,23.0,19.0,29.0,1,credit_card,8.5,208.59,33930,rio de janeiro,RJ
DlmtCXqKjfWj,UlqYPqEYgETA,delivered,2018-07-03 11:11:29,2018-07-05 16:27:45,2018-07-09 17:06:38,2018-07-27,N9wgqW59QGza,vxQT8FlJeDdN,80.75,12.86,toys,250.0,22.0,12.0,16.0,1,wallet,1.0,261.95,8535,nilopolis,RJ
KqH0sXMHdItQ,M7wmpVTfmiFp,delivered,2017-07-18 20:52:33,2017-07-18 21:05:14,2017-07-24 17:56:30,2017-08-07,n3QjhUa3JbkT,TJ6FVACdM0WN,509.0,30.66,toys,500.0,17.0,17.0,16.0,1,credit_card,1.0,17.22,25545,santa cruz do rio pardo,SP
OiIetUyiPLHG,4YfVSBGWPVdv,delivered,2018-06-28 00:43:34,2018-06-28 01:11:21,2018-06-29 20:52:48,2018-07-12,fJOMyLSpholI,ruq0u2ZpAMDr,127.77,37.87,toys,200.0,20.0,2.0,15.0,1,credit_card,1.0,115.82,30662,santos,SP
1pgvtCG93rNg,pqIfz7jRxaKh,delivered,2017-12-13 23:56:00,2017-12-15 23:51:44,2017-12-26 18:29:42,2018-01-09,DMB6KqQisnZE,aeWbd3M28ShO,148.5,67.48,toys,400.0,20.0,5.0,21.0,1,credit_card,8.5,213.19,7911,sao bernardo do campo,SP
qJHIiWyTAizV,5XGKxFrzDdYP,delivered,2017-04-27 00:12:04,2017-04-27 01:15:14,2017-05-09 09:55:03,2017-05-26,0vbEvli2JYJu,RKad98cTxhSb,95.03,57.81,toys,1383.0,50.0,10.0,40.0,1,credit_card,3.0,127.37,25804,caiua,SP
vSug5AqRo9gE,oWBBqGwqpx4m,shipped,2017-05-07 10:22:58,2017-05-09 09:35:20,2018-06-18 14:31:22,2017-06-12,xl7fxh09W8xU,HQ4j3Fr6B61e,310.99,63.17,toys,4050.0,67.0,10.0,52.5,1,wallet,1.0,310.2,75630,bom jesus,PI
cuAQQZUhTEwb,EeCs1w6JNdPU,delivered,2017-04-06 11:53:43,2017-04-06 13:05:26,2017-05-02 11:47:48,2017-05-10,bumRSmIPLuYa,kiirS0of7bJI,513.99,46.67,toys,4050.0,30.0,38.0,32.0,1,credit_card,8.5,278.41,39363,primavera do leste,MT
